ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DJI,Djibouti,0.313908894,0.313921148,0.309787093,0.305612045,0.311426119,0.317262346,0.320204195,0.323209733,0.311061695,0.325455366,0.333388314,0.291133025,0.298519807,0.314499646,0.320574446,0.302770095,0.296902926,0.298984958,0.294587355,0.30382209,0.310604691,0.302696035,0.31961495,0.326933675,0.328795133,0.329372436
DMA,Dominica,0.590390242,0.590390242,0.576949004,0.563507765,0.557493882,0.551479999,0.559693247,0.567906496,0.573004004,0.572808686,0.606170016,0.548683092,0.540679776,0.54503368,0.542136343,0.54064666,0.536286855,0.529411374,0.537327523,0.541486788,0.542685509,0.534128366,0.534546173,0.528801139,0.514001912,0.518993729
DOM,Dominican Republic,0.316527791,0.316607212,0.310797267,0.307292284,0.310208539,0.313568854,0.320215735,0.322276519,0.311345159,0.31453205,0.309609077,0.314503977,0.322612997,0.336605842,0.353359259,0.345193302,0.341173549,0.350092039,0.350095172,0.360841013,0.363744267,0.356814214,0.352781148,0.348660712,0.34974458,0.355894581
ECU,Ecuador,0.296202596,0.296797785,0.300682387,0.30557675,0.291736426,0.288111696,0.286712392,0.285873123,0.286858731,0.291979299,0.288179011,0.285580938,0.288646338,0.293096068,0.293593022,0.288232344,0.293940243,0.300277521,0.307859216,0.314249239,0.312969209,0.331505869,0.330026324,0.337288906,0.338119521,0.335181309
EGY,Egypt,0.35020166,0.350788657,0.351181949,0.351588505,0.350901711,0.349806303,0.346557575,0.34580972,0.336123207,0.335195326,0.325386642,0.28362872,0.297731784,0.324556489,0.334860663,0.338078579,0.324932383,0.327409098,0.322116244,0.329979671,0.331076928,0.32779541,0.332333111,0.336009812,0.339851703,0.343858525
SLV,El Salvador,0.297638115,0.295446542,0.300009759,0.304689926,0.311277369,0.314073934,0.311699611,0.311929535,0.312281711,0.32676467,0.320400758,0.337707477,0.341325196,0.346951409,0.357544293,0.354100971,0.357036976,0.354280527,0.352524957,0.360314005,0.353708838,0.342364852,0.339088486,0.342752758,0.347829585,0.346666808
GNQ,Equatorial Guinea,0.273658266,0.27371413,0.270153787,0.266662056,0.265170924,0.263827255,0.263243482,0.262929051,0.273240996,0.265786937,0.284135994,0.241301183,0.247537632,0.246463673,0.248516185,0.245704028,0.243518439,0.242890374,0.244256998,0.239684188,0.239128703,0.245592745,0.237111075,0.238488786,0.236770019,0.236992668
ERI,Eritrea,0.308229985,0.308182426,0.317285127,0.326375318,0.323183717,0.319540526,0.315562827,0.310833758,0.292918835,0.286789293,0.25194972,0.219800092,0.214098611,0.216841945,0.21419426,0.206047139,0.206327003,0.202332631,0.200842106,0.205513859,0.19669133,0.214222633,0.216166927,0.215603681,0.212351279,0.212355548
EST,Estonia,0.455891296,0.46152508,0.465336661,0.470166483,0.474979198,0.48554405,0.492542877,0.499184268,0.503460476,0.511656218,0.523543159,0.586182743,0.595943976,0.610240838,0.611829643,0.619555613,0.614443805,0.603761,0.614980335,0.64198439,0.638642338,0.619290414,0.619956938,0.61807165,0.623269503,0.618477835
ETH,Ethiopia,0.281770978,0.284894756,0.297208786,0.30947829,0.310417484,0.308431097,0.304838761,0.301195733,0.300169637,0.302886146,0.28685396,0.285527035,0.287903683,0.286323188,0.282603474,0.285502925,0.288327137,0.283373131,0.283820134,0.288857253,0.288549278,0.304685891,0.299948825,0.315891129,0.316556056,0.306121825
FJI,Fiji,0.395478802,0.395602554,0.391902849,0.388356277,0.374974228,0.361927137,0.36917456,0.377237294,0.374830642,0.374916842,0.378118912,0.412079205,0.412666582,0.411928732,0.393201764,0.393683067,0.408952871,0.407996545,0.407285692,0.43856599,0.441979493,0.451525719,0.458595983,0.466572779,0.470000106,0.472425835
FIN,Finland,0.671680236,0.673359744,0.679352063,0.687522525,0.692775448,0.696424528,0.698724012,0.703194482,0.706485074,0.706983967,0.718583807,0.754460572,0.75503569,0.75860645,0.755014736,0.765757504,0.766823703,0.775196662,0.779575533,0.789435536,0.772497091,0.752418504,0.753147081,0.749212729,0.746970688,0.750667267
FRA,France,0.582556522,0.586243894,0.585776694,0.585413845,0.587871682,0.591330808,0.593000565,0.592249618,0.592699822,0.598080107,0.599922224,0.618771466,0.637209317,0.640815994,0.645133237,0.660013917,0.657593669,0.656968429,0.653777927,0.663255983,0.664048249,0.651289581,0.656831909,0.652784144,0.666823626,0.648524987
GAB,Gabon,0.367572257,0.367632467,0.373231619,0.378810855,0.382293762,0.387590108,0.38719101,0.387606356,0.384162631,0.376169656,0.408138721,0.314666186,0.31219843,0.306891281,0.303392095,0.298008059,0.29756519,0.301379007,0.300125442,0.307138291,0.302157955,0.304555567,0.301153223,0.299303632,0.294007406,0.297962163
GMB,Gambia,0.369093216,0.369027965,0.372314339,0.37558961,0.37612714,0.37670804,0.377093227,0.377434175,0.383327264,0.367445566,0.385910977,0.318433767,0.323926178,0.319714214,0.321623261,0.309198914,0.312136139,0.308960915,0.306736876,0.308636292,0.310513476,0.299183499,0.312674177,0.313280369,0.318549527,0.328818964
GEO,Georgia,0.321165051,0.320216611,0.323136082,0.333899358,0.341731758,0.349201682,0.3466766,0.333794207,0.349783887,0.371826106,0.376638859,0.369247336,0.430862871,0.439428563,0.449641117,0.471933399,0.478672695,0.498354091,0.517528208,0.552597527,0.54963986,0.551945212,0.556857578,0.563960912,0.566719259,0.566164135
DEU,Germany,0.619419971,0.621065384,0.622714524,0.624644341,0.629816475,0.636529771,0.636908749,0.640069964,0.634106318,0.635032274,0.642223394,0.684948414,0.691468369,0.688391115,0.682987747,0.69917179,0.697282803,0.698638556,0.706430104,0.726484872,0.715902366,0.700806094,0.698399733,0.697805508,0.695263564,0.690177173
GHA,Ghana,0.329446596,0.329459554,0.33162276,0.333787281,0.338114015,0.342464452,0.337418925,0.332504801,0.340045883,0.335648188,0.329784243,0.328425094,0.335012731,0.343848523,0.351278617,0.349329468,0.354001992,0.351682886,0.358514007,0.346908479,0.351063787,0.348197056,0.353289184,0.352409854,0.355594139,0.350604238
GRC,Greece,0.425443591,0.429108147,0.438285629,0.445202535,0.451179342,0.458553944,0.465614965,0.469826,0.469704975,0.474378026,0.46937024,0.496059663,0.49554754,0.493346542,0.494884588,0.49455137,0.486100741,0.479069188,0.496906219,0.511635095,0.516467925,0.507004671,0.507056313,0.516187291,0.523715115,0.531361436
GRD,Grenada,0.460166519,0.460377325,0.45948555,0.458339748,0.457274913,0.456586664,0.457880452,0.461344341,0.465899586,0.459564827,0.477607278,0.417205805,0.411309706,0.40737427,0.407797785,0.422811391,0.431033777,0.435086482,0.443513728,0.45423803,0.469950865,0.474022746,0.470178186,0.462474534,0.460809297,0.462066616
GTM,Guatemala,0.270639418,0.270383664,0.277095722,0.283014208,0.284491277,0.286977318,0.282894741,0.279154109,0.277035318,0.28998962,0.28034319,0.26097656,0.271831984,0.277978373,0.278003346,0.28967287,0.289925525,0.287425415,0.292857301,0.314547621,0.318545977,0.323039215,0.317087232,0.314074433,0.318515175,0.315931525
GIN,Guinea,0.292152522,0.292089909,0.300498911,0.308923834,0.297594064,0.286274616,0.291995763,0.297788463,0.304741019,0.296728081,0.280263173,0.232831824,0.222650007,0.233499872,0.235776745,0.234991966,0.243136622,0.248947697,0.264819957,0.280244438,0.29688176,0.309610505,0.306700541,0.304918172,0.31169137,0.312703709
GNB,Guinea-Bissau,0.299830577,0.299838307,0.292970317,0.286111743,0.302547156,0.319073992,0.320065334,0.321268269,0.32517178,0.321359544,0.33877858,0.267956996,0.26672513,0.260429791,0.259427339,0.241843033,0.241032107,0.245603372,0.244349695,0.257622851,0.259541024,0.267086024,0.270336593,0.269566626,0.270990058,0.269287965
